experiment_name,split,group_type,group_value,rows,log_mae,p95_abs_pct_error,p99_abs_pct_error,error_gt_20pct_rate
F18_reference_huber_010,valid,exact_prev1_missing_group,0,382467,0.062074843713731793,0.1895338192867573,0.3259441850925002,0.04352793835808057
F18_reference_huber_010,valid,exact_prev1_missing_group,1,1965,0.487455198185457,0.9363482189285245,3.0545190375639635,0.5974554707379135
F18_reference_huber_010,valid,wide_prev1_present_exact_missing_group,0,383760,0.06411026779060225,0.19348957014098406,0.35018097203196336,0.04599228684594538
F18_reference_huber_010,valid,wide_prev1_present_exact_missing_group,1,672,0.14356004132851702,0.3988423167374372,0.5963201451570544,0.25595238095238093
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,1-30,250361,0.05482439937097837,0.16305265403197147,0.2678980499204282,0.02758017422841417
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,181-365,14625,0.08783303927196077,0.26349042155684754,0.43916136062769867,0.09880341880341881
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,31-90,76044,0.06325711323989683,0.18760802299280238,0.3128930638954558,0.04230445531534375
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,366-730,6661,0.1165682353347943,0.3613687872918451,0.586280051236188,0.19006155231947156
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,731+,7988,0.1460160362844998,0.4024170930045559,0.6680769716435924,0.2666499749624437
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,91-180,26788,0.07383785903275926,0.21896472161640554,0.3708070549572928,0.0629012990891444
F18_reference_huber_010,valid,exact_prev1_gap_bucket_plus,missing_or_negative,1965,0.487455198185457,0.9363482189285245,3.0545190375639635,0.5974554707379135
F18_reference_huber_010,valid,prev1_gap_bucket_plus,1-30,258458,0.05543406837764734,0.1648971506493202,0.27220644857208576,0.028712595470057032
F18_reference_huber_010,valid,prev1_gap_bucket_plus,181-365,13142,0.09006264663283121,0.2704073761254884,0.45298038116857164,0.10500684827271344
F18_reference_huber_010,valid,prev1_gap_bucket_plus,31-90,74756,0.06400457515692422,0.1915083603808972,0.3163050951420769,0.04447803520787629
F18_reference_huber_010,valid,prev1_gap_bucket_plus,366-730,5694,0.12240353595495511,0.37722211875438194,0.5927369870102641,0.2067088162978574
F18_reference_huber_010,valid,prev1_gap_bucket_plus,731+,5847,0.16465533534870555,0.43201595516834684,0.70593785068686,0.3223875491705148
F18_reference_huber_010,valid,prev1_gap_bucket_plus,91-180,25242,0.07458356515694309,0.22160401394729157,0.3739960454897673,0.0646541478488234
F18_reference_huber_010,valid,prev1_gap_bucket_plus,missing_or_negative,1293,0.6661849316795511,1.436518459071992,3.59569277767041,0.7749419953596288
F18_reference_huber_010,valid,prev2_gap_bucket_plus,1-30,170682,0.05361568238514407,0.1593210299226994,0.2615683618615767,0.025685192346000165
F18_reference_huber_010,valid,prev2_gap_bucket_plus,181-365,26798,0.07462389065295975,0.22590736130844405,0.379122406288996,0.06701992686021345
F18_reference_huber_010,valid,prev2_gap_bucket_plus,31-90,113092,0.05852048159531908,0.17392198426552807,0.2859258262965232,0.03364517384076681
F18_reference_huber_010,valid,prev2_gap_bucket_plus,366-730,11654,0.09669786202695815,0.29819234405049017,0.5042669908925468,0.12742406040844345
F18_reference_huber_010,valid,prev2_gap_bucket_plus,731+,13013,0.1297160813572779,0.37772609409821867,0.614387462301376,0.22147083685545224
F18_reference_huber_010,valid,prev2_gap_bucket_plus,91-180,46543,0.06606663147242263,0.19564938244806973,0.3300111182027245,0.046730979954021014
F18_reference_huber_010,valid,prev2_gap_bucket_plus,missing_or_negative,2650,0.3925947202082613,0.8905759021847695,2.78244518033438,0.48867924528301887
F18_reference_huber_010,valid,wide_prev_jump_20_group,0,352933,0.05938559573955107,0.17527413903108907,0.32628817625952616,0.03608616932958947
F18_reference_huber_010,valid,wide_prev_jump_20_group,1,31499,0.11874320625884349,0.3012134992904443,0.4783928251438763,0.16146544334740787
F18_reference_huber_010,valid,exact_prev_jump_20_group,0,352916,0.059644199462789385,0.17651528945382627,0.3289406723351594,0.036799125004250303
F18_reference_huber_010,valid,exact_prev_jump_20_group,1,31516,0.11581534514165857,0.29569075335598033,0.4763981240391265,0.15341413885010788
F18_reference_huber_010,valid,exact_wide_gap_10_group,0,375845,0.06310304368441741,0.18964019284862674,0.3439372667126365,0.04385052348707579
F18_reference_huber_010,valid,exact_wide_gap_10_group,1,8587,0.11441309671880968,0.3141667830723052,0.5158095796083259,0.15616629789216258
F18_reference_huber_010,valid,region_prior_missing_group,0,384432,0.06424914865332304,0.19405811227565875,0.3511436535023546,0.04635930411620261
